alpha_bucket,scene_category,scene_leaf,n_images,n_classes,official_attribute_matches,train_count,val_count,test_seen_count,test_unseen_count
p,priory,priory,20,1,20,16,16,4,0
p,promenade,promenade,20,1,20,16,16,4,0
p,promenade_deck,promenade_deck,20,1,20,0,0,0,20
p,pub/indoor,indoor,20,1,20,0,0,0,20
p,pub/outdoor,outdoor,20,1,20,16,16,4,0
p,pulpit,pulpit,20,1,20,16,16,4,0
p,pump_room,pump_room,20,1,20,16,16,4,0
p,putting_green,putting_green,20,1,20,16,16,4,0
q,quadrangle,quadrangle,20,1,20,16,16,4,0
q,quay,quay,20,1,20,16,16,4,0
q,quonset_hut/outdoor,outdoor,20,1,20,0,16,4,0
r,racecourse,racecourse,20,1,20,0,0,0,20
r,raceway,raceway,20,1,20,16,16,4,0
r,raft,raft,20,1,20,16,16,4,0
r,railroad_track,railroad_track,20,1,20,16,16,4,0
r,railway_yard,railway_yard,20,1,20,16,16,4,0
r,rainforest,rainforest,20,1,20,16,16,4,0
r,ramp,ramp,20,1,20,16,16,4,0
r,ranch,ranch,20,1,20,16,16,4,0
r,ranch_house,ranch_house,20,1,20,16,16,4,0
r,reading_room,reading_room,20,1,20,16,16,4,0
r,reception,reception,20,1,20,16,16,4,0
r,recreation_room,recreation_room,20,1,20,16,16,4,0
r,rectory,rectory,20,1,20,0,0,0,20
r,recycling_plant/indoor,indoor,20,1,20,16,16,4,0
r,recycling_plant/outdoor,outdoor,20,1,20,16,16,4,0
r,repair_shop,repair_shop,20,1,20,16,16,4,0
r,residential_neighborhood,residential_neighborhood,20,1,20,16,16,4,0
r,resort,resort,20,1,20,16,16,4,0
r,restaurant,restaurant,20,1,20,16,16,4,0
r,restaurant_kitchen,restaurant_kitchen,20,1,20,16,16,4,0
r,restaurant_patio,restaurant_patio,20,1,20,16,16,4,0
r,restroom/indoor,indoor,20,1,20,16,16,4,0
r,restroom/outdoor,outdoor,20,1,20,16,16,4,0
r,revolving_door,revolving_door,20,1,20,16,16,4,0
r,rice_paddy,rice_paddy,20,1,20,16,16,4,0
r,riding_arena,riding_arena,20,1,20,16,16,4,0
r,river,river,20,1,20,16,16,4,0
r,road_cut,road_cut,20,1,20,16,16,4,0
r,rock_arch,rock_arch,20,1,20,0,16,4,0
r,rolling_mill,rolling_mill,20,1,20,16,16,4,0
r,roof,roof,20,1,20,16,16,4,0
r,root_cellar,root_cellar,20,1,20,16,16,4,0
r,rope_bridge,rope_bridge,20,1,20,16,16,4,0
r,roundabout,roundabout,20,1,20,16,16,4,0
r,rubble,rubble,20,1,20,16,16,4,0
r,ruin,ruin,20,1,20,16,16,4,0
r,runway,runway,20,1,20,16,16,4,0
s,sacristy,sacristy,20,1,20,16,16,4,0
s,salt_plain,salt_plain,20,1,20,16,16,4,0
s,sand_trap,sand_trap,20,1,20,16,16,4,0
s,sandbar,sandbar,20,1,20,16,16,4,0
s,sandbox,sandbox,20,1,20,0,0,0,20
s,sauna,sauna,20,1,20,16,16,4,0
s,savanna,savanna,20,1,20,0,0,0,20
s,sawmill,sawmill,20,1,20,16,16,4,0
s,schoolhouse,schoolhouse,20,1,20,0,16,4,0
s,schoolyard,schoolyard,20,1,20,16,16,4,0
s,science_museum,science_museum,20,1,20,0,16,4,0
s,sea_cliff,sea_cliff,20,1,20,16,16,4,0
s,seawall,seawall,20,1,20,16,16,4,0
s,server_room,server_room,20,1,20,16,16,4,0
s,sewing_room,sewing_room,20,1,20,16,16,4,0
s,shed,shed,20,1,20,16,16,4,0
s,shipping_room,shipping_room,20,1,20,16,16,4,0
s,shipyard/outdoor,outdoor,20,1,20,16,16,4,0
s,shoe_shop,shoe_shop,20,1,20,0,16,4,0
s,shopfront,shopfront,20,1,20,16,16,4,0
s,shopping_mall/indoor,indoor,20,1,20,16,16,4,0
s,shower,shower,20,1,20,16,16,4,0
s,signal_box,signal_box,20,1,20,16,16,4,0
s,skatepark,skatepark,20,1,20,16,16,4,0
s,ski_jump,ski_jump,20,1,20,16,16,4,0
s,ski_lodge,ski_lodge,20,1,20,0,16,4,0
s,ski_resort,ski_resort,20,1,20,0,0,0,20
s,ski_slope,ski_slope,20,1,20,16,16,4,0
s,sky,sky,20,1,20,0,16,4,0
s,skyscraper,skyscraper,20,1,20,16,16,4,0
s,slum,slum,20,1,20,16,16,4,0
s,snowfield,snowfield,20,1,20,16,16,4,0
s,soccer_field,soccer_field,20,1,20,16,16,4,0
s,spillway,spillway,20,1,20,16,16,4,0
s,squash_court,squash_court,20,1,20,16,16,4,0
s,stable,stable,20,1,20,16,16,4,0
s,stadium/baseball,baseball,20,1,20,16,16,4,0
s,stadium/football,football,20,1,20,16,16,4,0
s,stadium/outdoor,outdoor,20,1,20,16,16,4,0
s,stadium/soccer,soccer,20,1,20,16,16,4,0
s,stage/indoor,indoor,20,1,20,16,16,4,0
s,stage/outdoor,outdoor,20,1,20,16,16,4,0
s,staircase,staircase,20,1,20,0,16,4,0
s,steel_mill/indoor,indoor,20,1,20,16,16,4,0
s,steel_mill/outdoor,outdoor,20,1,20,16,16,4,0
s,stilt_house/water,water,20,1,20,0,16,4,0
s,stone_circle,stone_circle,20,1,20,16,16,4,0
s,street,street,20,1,20,16,16,4,0
s,strip_mall,strip_mall,20,1,20,16,16,4,0
s,strip_mine,strip_mine,20,1,20,16,16,4,0
s,submarine_interior,submarine_interior,20,1,20,16,16,4,0
s,subway_interior,subway_interior,20,1,20,16,16,4,0
s,subway_station/corridor,corridor,20,1,20,16,16,4,0
s,subway_station/platform,platform,20,1,20,0,16,4,0
s,sun_deck,sun_deck,20,1,20,16,16,4,0
s,supermarket,supermarket,20,1,20,16,16,4,0
s,sushi_bar,sushi_bar,20,1,20,16,16,4,0
s,swamp,swamp,20,1,20,16,16,4,0
s,swimming_hole,swimming_hole,20,1,20,16,16,4,0
s,swimming_pool/indoor,indoor,20,1,20,16,16,4,0
s,swimming_pool/outdoor,outdoor,20,1,20,16,16,4,0
s,synagogue/indoor,indoor,20,1,20,16,16,4,0
s,synagogue/outdoor,outdoor,20,1,20,0,16,4,0
t,tea_garden,tea_garden,20,1,20,16,16,4,0
t,tearoom,tearoom,20,1,20,16,16,4,0
t,teashop,teashop,20,1,20,16,16,4,0
t,television_studio,television_studio,20,1,20,16,16,4,0
t,temple/east_asia,east_asia,20,1,20,16,16,4,0
t,temple/south_asia,south_asia,20,1,20,0,0,0,20
t,temple/western,western,20,1,20,16,16,4,0
t,tennis_court/indoor,indoor,20,1,20,16,16,4,0
t,tennis_court/outdoor,outdoor,20,1,20,16,16,4,0
t,tent/indoor,indoor,20,1,20,16,16,4,0
t,tent/outdoor,outdoor,20,1,20,16,16,4,0
t,terrace_farm,terrace_farm,20,1,20,16,16,4,0
t,theater/indoor_procenium,indoor_procenium,20,1,20,16,16,4,0
t,theater/indoor_round,indoor_round,20,1,20,16,16,4,0
t,theater/indoor_seats,indoor_seats,20,1,20,0,0,0,20
t,theater/outdoor,outdoor,20,1,20,0,16,4,0
t,thriftshop,thriftshop,20,1,20,16,16,4,0
t,throne_room,throne_room,20,1,20,16,16,4,0
t,ticket_booth,ticket_booth,20,1,20,0,0,0,20
t,ticket_window/outdoor,outdoor,20,1,20,16,16,4,0
t,toll_plaza,toll_plaza,20,1,20,16,16,4,0
t,tollbooth,tollbooth,20,1,20,16,16,4,0
t,topiary_garden,topiary_garden,20,1,20,16,16,4,0
t,tower,tower,20,1,20,16,16,4,0
t,town_house,town_house,20,1,20,16,16,4,0
t,toyshop,toyshop,20,1,20,16,16,4,0
t,track/indoor,indoor,20,1,20,16,16,4,0
t,track/outdoor,outdoor,20,1,20,16,16,4,0
t,trading_floor,trading_floor,20,1,20,0,0,0,20
t,trailer_park,trailer_park,20,1,20,16,16,4,0
t,train_depot,train_depot,20,1,20,16,16,4,0
t,train_railway,train_railway,20,1,20,16,16,4,0
t,train_station/outdoor,outdoor,20,1,20,16,16,4,0
t,train_station/platform,platform,20,1,20,0,0,0,20
t,train_station/station,station,20,1,20,16,16,4,0
t,tree_farm,tree_farm,20,1,20,16,16,4,0
t,tree_house,tree_house,20,1,20,16,16,4,0
t,trench,trench,20,1,20,16,16,4,0
t,trestle_bridge,trestle_bridge,20,1,20,0,16,4,0
t,tundra,tundra,20,1,20,0,0,0,20
t,tunnel/rail_outdoor,rail_outdoor,20,1,20,0,16,4,0
t,tunnel/road_outdoor,road_outdoor,20,1,20,0,0,0,20
u,underwater/coral_reef,coral_reef,20,1,20,16,16,4,0
u,underwater/ice,ice,20,1,20,16,16,4,0
u,underwater/kelp_forest,kelp_forest,20,1,20,16,16,4,0
u,underwater/ocean_deep,ocean_deep,20,1,20,16,16,4,0
u,underwater/ocean_shallow,ocean_shallow,20,1,20,16,16,4,0
u,underwater/pool,pool,20,1,20,16,16,4,0
u,underwater/wreck,wreck,20,1,20,0,16,4,0
u,utility_room,utility_room,20,1,20,16,16,4,0
v,valley,valley,20,1,20,0,16,4,0
v,van_interior,van_interior,20,1,20,16,16,4,0
v,vegetable_garden,vegetable_garden,20,1,20,16,16,4,0
v,velodrome/indoor,indoor,20,1,20,16,16,4,0
v,velodrome/outdoor,outdoor,20,1,20,16,16,4,0
v,ventilation_shaft,ventilation_shaft,20,1,20,16,16,4,0
v,veranda,veranda,20,1,20,16,16,4,0
v,vestry,vestry,20,1,20,0,0,0,20
v,veterinarians_office,veterinarians_office,20,1,20,16,16,4,0
v,viaduct,viaduct,20,1,20,0,16,4,0
v,videostore,videostore,20,1,20,16,16,4,0
v,village,village,20,1,20,16,16,4,0
v,vineyard,vineyard,20,1,20,0,0,0,20
v,volcano,volcano,20,1,20,16,16,4,0
v,volleyball_court/outdoor,outdoor,20,1,20,0,0,0,20
v,voting_booth,voting_booth,20,1,20,16,16,4,0
w,waiting_room,waiting_room,20,1,20,0,16,4,0
w,warehouse/indoor,indoor,20,1,20,16,16,4,0
w,watchtower,watchtower,20,1,20,16,16,4,0
w,water_mill,water_mill,20,1,20,16,16,4,0
w,water_tower,water_tower,20,1,20,16,16,4,0
w,water_treatment_plant/indoor,indoor,20,1,20,16,16,4,0
w,water_treatment_plant/outdoor,outdoor,20,1,20,16,16,4,0
w,waterfall/block,block,20,1,20,16,16,4,0
w,waterfall/cascade,cascade,20,1,20,0,16,4,0
w,waterfall/cataract,cataract,20,1,20,16,16,4,0
w,waterfall/fan,fan,20,1,20,16,16,4,0
w,waterfall/plunge,plunge,20,1,20,16,16,4,0
w,watering_hole,watering_hole,20,1,20,0,0,0,20
w,wave,wave,20,1,20,16,16,4,0
w,weighbridge,weighbridge,20,1,20,0,16,4,0
w,wet_bar,wet_bar,20,1,20,16,16,4,0
w,wharf,wharf,20,1,20,16,16,4,0
w,wheat_field,wheat_field,20,1,20,16,16,4,0
w,wind_farm,wind_farm,20,1,20,16,16,4,0
w,windmill,windmill,20,1,20,16,16,4,0
w,window_seat,window_seat,20,1,20,16,16,4,0
w,wine_cellar/barrel_storage,barrel_storage,20,1,20,0,16,4,0
w,wine_cellar/bottle_storage,bottle_storage,20,1,20,16,16,4,0
w,winery,winery,20,1,20,16,16,4,0
w,witness_stand,witness_stand,20,1,20,16,16,4,0
w,woodland,woodland,20,1,20,16,16,4,0
w,workroom,workroom,20,1,20,16,16,4,0
w,workshop,workshop,20,1,20,0,0,0,20
w,wrestling_ring/indoor,indoor,20,1,20,0,0,0,20
y,yard,yard,20,1,20,0,0,0,20
y,youth_hostel,youth_hostel,20,1,20,16,16,4,0
z,zen_garden,zen_garden,20,1,20,16,16,4,0
z,ziggurat,ziggurat,20,1,20,0,0,0,20
z,zoo,zoo,20,1,20,16,16,4,0
